,City,Country,Max Temp,Lat,Lng,Hotel Name
2,Cidreira,BR,77.63,-30.1811,-50.2056,Hotel Castelo
8,Chuy,UY,79.03,-33.6971,-53.4616,Alerces
19,Atuona,PF,79.84,-9.8,-139.0333,Pearl Resort
23,Vaini,TO,80.76,-21.2,-175.2,Keleti International Resort
25,Honiara,SB,77.16,-9.4333,159.95,King Solomon Hotel
30,Gizo,SB,82.22,-8.103,156.8419,Gizo Hotel
32,Ixtapa,MX,76.23,20.7,-105.2,No hotel found
34,Cabo San Lucas,MX,76.3,22.8909,-109.9124,Comfort Rooms
39,Oussouye,SN,89.78,12.485,-16.5469,Campement Alulum
41,Carnarvon,AU,77.63,-24.8667,113.6333,No hotel found
49,Butaritari,KI,80.74,3.0707,172.7902,No hotel found
56,Bilma,NE,87.96,18.6853,12.9164,No hotel found
63,Salalah,OM,77.09,17.0151,54.0924,Muscat International Hotel
64,Yenagoa,NG,80.17,4.9247,6.2642,Peretimi Hotels Ltd.
65,Georgetown,MY,80.53,5.4112,100.3354,Page 63 hostel
69,Rikitea,PF,79.99,-23.1203,-134.9692,Chez Bianca & Benoit
72,Puerto Ayora,EC,84.16,-0.7393,-90.3518,Hostal La Mirada De Solitario George
73,Manokwari,ID,78.49,-0.8667,134.0833,Hotel Arfak
75,Saint-Pierre,RE,77.58,-21.3393,55.4781,Tropic Hotel
78,Hithadhoo,MV,82.24,-0.6,73.0833,Pebbles Inn
81,Saint-Philippe,RE,76.59,-21.3585,55.7679,Le Baril
83,Bambous Virieux,MU,81.21,-20.3428,57.7575,No hotel found
91,Umm Kaddadah,SD,76.37,13.6017,26.6876,No hotel found
92,Bartica,GY,86.32,6.4,-58.6167,Rockville Hotel
95,Merauke,ID,79.0,-8.4667,140.3333,No hotel found
98,Avarua,CK,82.45,-21.2078,-159.775,Paradise Inn
105,Mahanoro,MG,76.24,-19.9,48.8,Vanilla Bungalow
108,Avera,US,76.51,33.194,-82.5271,No hotel found
112,Eyl,SO,76.98,7.9803,49.8164,فندق ايل دابي
113,Souillac,MU,80.98,-20.5167,57.5167,Hotel SkylineInn
116,Ilebo,CD,79.74,-4.3167,20.5833,Hôtel des Palmes
126,Cayenne,GF,82.44,4.9333,-52.3333,Central Hôtel
131,Kalmunai,LK,76.57,7.4167,81.8167,Saji new food
132,Banyo,CM,80.83,6.75,11.8167,Hôtel Amin
133,San Patricio,US,82.17,28.017,-97.5169,No hotel found
135,Hualmay,PE,77.79,-11.0964,-77.6139,Hotel Mi Choacan
137,Vila Velha,BR,87.75,-20.3297,-40.2925,Hotel Prainha
138,Trincomalee,LK,79.63,8.5711,81.2335,Silver Star Inn
140,Lorengau,PG,78.82,-2.0226,147.2712,Seeadler Bay Hotel
141,Muisne,EC,79.02,0.6,-80.0333,Hostal Té de Menta
147,Biak,ID,77.41,-0.9131,122.8766,No hotel found
148,Tautira,PF,79.83,-17.7333,-149.15,No hotel found
166,Touros,BR,83.53,-5.1989,-35.4608,Pousada Atlântico
167,Riyadh,SA,77.14,24.6877,46.7219,White Palace Hotel
168,Mahebourg,MU,81.25,-20.4081,57.7,Grand Bel Air
169,Luanda,AO,78.22,-8.8368,13.2343,Hotel Forum
182,Russell,US,75.96,32.3502,-85.1999,No hotel found
183,Praia,CV,81.14,14.9215,-23.5087,Casa Sodadi
191,Kavieng,PG,78.04,-2.5744,150.7967,Kavieng Hotel
194,Vanimo,PG,75.9,-2.6741,141.3028,CBC Guesthouse
203,Sola,VU,82.04,-13.8833,167.55,No hotel found
204,Pekalongan,ID,81.01,-6.8886,109.6753,Hotel Nirwana Pekalongan
207,Salinopolis,BR,79.47,-0.6136,-47.3561,Hotel Salinópolis
211,Manoel Urbano,BR,83.48,-8.8389,-69.2597,No hotel found
212,Dakar,SN,81.48,14.6937,-17.4441,翁记小吃
213,Kupang,ID,76.84,-10.1667,123.5833,BIB & LANG GUEST HOUSE
216,Jodhpur,IN,76.26,26.2867,73.03,khass baag
217,Acajutla,SV,86.34,13.5928,-89.8275,Hotel Lara
218,Santa Rosa,PH,75.11,14.3122,121.1114,JARS RESORT
220,Trairi,BR,83.66,-3.2778,-39.2689,No hotel found
