,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Berdigestyakh,RU,62.0989,126.6992,6.19,98,100,1.92
1,Albany,US,42.6001,-73.9662,37.26,90,100,3.6
2,Cidreira,BR,-30.1811,-50.2056,77.63,80,99,4.05
3,Ponta Delgada,PT,37.7333,-25.6667,59.72,63,20,14.97
4,Lewistown,US,40.5992,-77.5714,44.73,81,100,13.8
5,Grimmen,DE,54.1121,13.0405,33.98,62,14,7.38
6,Punta Arenas,CL,-53.15,-70.9167,44.71,70,75,17.27
7,Port-Cartier,CA,50.0334,-66.8654,24.91,67,84,5.32
8,Chuy,UY,-33.6971,-53.4616,79.03,56,43,10.38
9,Lompoc,US,34.6391,-120.4579,54.52,72,100,10.36
10,Mataura,NZ,-46.1927,168.8643,45.0,97,68,0.51
11,Hermanus,ZA,-34.4187,19.2345,65.8,92,100,9.75
12,Saskylakh,RU,71.9167,114.0833,-21.39,100,94,2.93
13,Mar Del Plata,AR,-38.0023,-57.5575,72.82,74,40,13.8
14,Trowbridge,GB,51.3189,-2.2086,40.75,74,84,5.28
15,Nelson Bay,AU,-32.7167,152.15,68.0,94,3,3.0
16,Arequipa,PE,-16.3989,-71.535,73.47,43,40,9.22
17,Port Alfred,ZA,-33.5906,26.891,71.19,93,29,7.85
18,Bredasdorp,ZA,-34.5322,20.0403,67.12,88,88,7.63
19,Atuona,PF,-9.8,-139.0333,79.84,81,17,14.14
20,Mount Isa,AU,-20.7333,139.5,73.17,88,75,2.3
21,Bulgan,MN,48.8125,103.5347,30.78,49,13,7.02
22,Talnakh,RU,69.4865,88.3972,-14.8,99,100,2.68
23,Vaini,TO,-21.2,-175.2,80.76,89,75,5.75
24,Itaberaba,BR,-12.5275,-40.3069,94.3,30,59,13.04
25,Honiara,SB,-9.4333,159.95,77.16,86,100,7.07
26,Henties Bay,NA,-22.116,14.2845,64.63,78,0,10.54
27,Berlevag,NO,70.8578,29.0864,28.35,93,100,33.38
28,Yellowknife,CA,62.456,-114.3525,-14.28,64,75,8.05
29,Qaanaaq,GL,77.484,-69.3632,9.09,46,0,8.66
